#  run = 2014_02_28-run06
#  micrometer = 6.00 mm
#  run length = 600.0sec
#  run start = 2014-02-28 14:40:00.876331
#  run end = 2014-02-28 14:50:00.925061
# Time (S)   sumSignal  LR_Signal  TB_Signal
  0.000040	  0.001752	 -0.002579	 -0.001476
  0.609271	  0.002070	 -0.002560	 -0.001400
  0.652960	  0.002058	 -0.002539	 -0.001386
  0.696172	  0.002042	 -0.002569	 -0.001377
  0.740377	  0.002220	 -0.002649	 -0.001176
  0.783961	  0.002612	 -0.002669	 -0.001101
  0.827206	  0.002609	 -0.002650	 -0.001139
  0.871069	  0.002541	 -0.002661	 -0.001085
  0.914538	  0.002856	 -0.002654	 -0.000890
  0.958622	  0.003215	 -0.002709	 -0.000821
  1.001698	  0.003157	 -0.002677	 -0.000839
  1.045174	  0.003077	 -0.002681	 -0.000764
  1.089013	  0.003342	 -0.002727	 -0.000544
  1.132724	  0.003716	 -0.002758	 -0.000515
  1.175947	  0.003661	 -0.002775	 -0.000599
  1.219826	  0.003599	 -0.002758	 -0.000537
  1.263295	  0.003793	 -0.002753	 -0.000336
  1.307061	  0.004115	 -0.002819	 -0.000240
  1.350579	  0.004136	 -0.002797	 -0.000334
  1.394088	  0.003930	 -0.002841	 -0.000387
  1.437956	  0.004126	 -0.002814	 -0.000166
  1.481817	  0.004385	 -0.002894	 -0.000124
  1.525090	  0.004328	 -0.002849	 -0.000271
  1.568629	  0.004203	 -0.002815	 -0.000319
  1.611807	  0.004246	 -0.002867	 -0.000159
  1.655784	  0.004386	 -0.002867	 -0.000154
  1.699548	  0.004347	 -0.002875	 -0.000356
  1.744180	  0.004137	 -0.002866	 -0.000370
  1.787694	  0.004203	 -0.002846	 -0.000335
  1.831420	  0.004264	 -0.002887	 -0.000435
  1.875587	  0.004173	 -0.002817	 -0.000512
  1.919073	  0.004019	 -0.002806	 -0.000621
  1.962517	  0.003972	 -0.002849	 -0.000632
  2.006115	  0.003929	 -0.002835	 -0.000746
  2.049942	  0.003770	 -0.002876	 -0.000858
  2.093405	  0.003652	 -0.002818	 -0.000915
  2.138287	  0.003590	 -0.002819	 -0.001002
  2.181718	  0.003531	 -0.002754	 -0.001045
  2.225028	  0.003400	 -0.002774	 -0.001135
  2.268532	  0.003276	 -0.002744	 -0.001177
  2.312028	  0.003226	 -0.002732	 -0.001225
  2.355405	  0.003146	 -0.002737	 -0.001310
  2.398775	  0.003139	 -0.002786	 -0.001388
  2.446036	  0.002966	 -0.002744	 -0.001377
